order,id,date,time,title,url,visitCount,typedCount,transition
94,16694,5/6/2024,11:05:38,unique pandas - Pesquisa Google,https://www.google.com/search?q=unique+pandas&oq=unique+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDI3OTBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,link
95,16694,5/6/2024,11:05:38,unique pandas - Pesquisa Google,https://www.google.com/search?q=unique+pandas&oq=unique+pandas&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDI3OTBqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,2,0,generated
96,16632,5/6/2024,11:03:19,Untitled - Jupyter Notebook,http://localhost:8888/notebooks/Untitled.ipynb?kernel_name=python3,2,0,link
97,16693,5/6/2024,10:59:23,Untitled prompt | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat,3,0,link
98,16692,5/6/2024,10:54:09,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1t31OCrspyZZMQHnlyfEYHbugpBt4PbBAnfunHxxuQMw/edit#gid=495384935,3,0,link
99,16692,5/6/2024,10:54:09,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1t31OCrspyZZMQHnlyfEYHbugpBt4PbBAnfunHxxuQMw/edit#gid=495384935,3,0,link
100,16692,5/6/2024,10:54:09,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1t31OCrspyZZMQHnlyfEYHbugpBt4PbBAnfunHxxuQMw/edit#gid=495384935,3,0,link
101,16691,5/6/2024,10:54:08,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1t31OCrspyZZMQHnlyfEYHbugpBt4PbBAnfunHxxuQMw/edit,2,0,link
102,16691,5/6/2024,10:54:08,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1t31OCrspyZZMQHnlyfEYHbugpBt4PbBAnfunHxxuQMw/edit,2,0,link
103,16688,5/6/2024,10:47:37,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1tQC5aTeubIxph-Phfx6Vqi0nVjKEP8HwXIi6Xa_rmhM/edit#gid=757913890,3,0,link
104,16688,5/6/2024,10:47:37,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1tQC5aTeubIxph-Phfx6Vqi0nVjKEP8HwXIi6Xa_rmhM/edit#gid=757913890,3,0,link
105,16688,5/6/2024,10:47:36,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1tQC5aTeubIxph-Phfx6Vqi0nVjKEP8HwXIi6Xa_rmhM/edit#gid=757913890,3,0,link
106,16687,5/6/2024,10:47:36,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1tQC5aTeubIxph-Phfx6Vqi0nVjKEP8HwXIi6Xa_rmhM/edit,2,0,link
107,16687,5/6/2024,10:47:35,Crie uma tabela separando em três colunas: paíse... - Planilhas Google,https://docs.google.com/spreadsheets/d/1tQC5aTeubIxph-Phfx6Vqi0nVjKEP8HwXIi6Xa_rmhM/edit,2,0,link
108,16664,5/6/2024,10:47:05,Gemini,https://gemini.google.com/app/8429ebc328fb615e,2,0,link
109,16684,5/6/2024,10:40:08,Gemini,https://gemini.google.com/app/c_8429ebc328fb615e,1,0,link
110,16683,5/6/2024,10:39:57,Extensões,https://gemini.google.com/extensions,1,0,link
111,16682,5/6/2024,10:30:26,Clientes_logados_Microsft_Azure | Google AI Studio,https://aistudio.google.com/app/prompts/new_chat?hl=pt-br,2,0,link
112,16681,5/6/2024,10:30:25,Google AI Studio,https://aistudio.google.com/app/?hl=pt-br,1,0,link
113,16679,5/6/2024,10:30:24,Guia de início rápido do Google AI Studio  |  Google AI for Developers  |  Google for Developers,https://ai.google.dev/gemini-api/docs/ai-studio-quickstart?hl=pt-br,2,0,link
114,16679,5/6/2024,10:30:20,Guia de início rápido do Google AI Studio  |  Google AI for Developers  |  Google for Developers,https://ai.google.dev/gemini-api/docs/ai-studio-quickstart?hl=pt-br,2,0,link
115,16674,5/6/2024,10:30:12,Google AI Studio Gemini - Pesquisa Google,https://www.google.com/search?sca_esv=d201d7626ec35994&sxsrf=ADLYWIKQ7diAm-M-BedBAp0excIHfFgkLg:1715002180847&q=Google+AI+Studio+Gemini&sa=X&ved=2ahUKEwig5Zz-kPmFAxWRJrkGHTeQBqYQ1QJ6BAgrEAE&biw=1312&bih=620&dpr=1,2,0,link
116,16674,5/6/2024,10:30:12,Google AI Studio Gemini - Pesquisa Google,https://www.google.com/search?sca_esv=d201d7626ec35994&sxsrf=ADLYWIKQ7diAm-M-BedBAp0excIHfFgkLg:1715002180847&q=Google+AI+Studio+Gemini&sa=X&ved=2ahUKEwig5Zz-kPmFAxWRJrkGHTeQBqYQ1QJ6BAgrEAE&biw=1312&bih=620&dpr=1,2,0,link
117,16673,5/6/2024,10:30:09,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#ip=1,1,0,link
118,16666,5/6/2024,10:30:04,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,5,0,generated
119,16672,5/6/2024,10:30:01,Google Generative AI – Google AI,https://ai.google/discover/generativeai/,1,0,link
120,16666,5/6/2024,10:29:58,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,5,0,generated
121,16671,5/6/2024,10:29:56,Vertex AI Studio | Google Cloud,https://cloud.google.com/generative-ai-studio?hl=pt-BR,2,0,link
122,16671,5/6/2024,10:29:54,Vertex AI Studio | Google Cloud,https://cloud.google.com/generative-ai-studio?hl=pt-BR,2,0,link
123,16666,5/6/2024,10:29:50,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,5,0,generated
124,16670,5/6/2024,10:29:45,Produtos e serviços de IA e machine learning | Google Cloud,https://cloud.google.com/products/ai?utm_source=google&utm_medium=cpc&utm_campaign=latam-BR-all-pt-dr-BKWS-all-all-trial-p-dr-1707800-LUAC0014875&utm_content=text-ad-none-any-DEV_c-CRE_547331812258-ADGP_Hybrid+%7C+BKWS+-+PHR+%7C+Txt_AI+and+ML-General-KWID_43700066537017029-kwd-301796808640&utm_term=KW_google+ai-ST_Google+AI&gad_source=1&gclid=Cj0KCQjw_-GxBhC1ARIsADGgDjulc2yHoCE4NLnlvNx_HXTKvtrbWNV9XaFvVNh9x_c26U-sE3KvoFoaAlO7EALw_wcB&gclsrc=aw.ds&hl=pt_br,2,0,link
125,16670,5/6/2024,10:29:44,Produtos e serviços de IA e machine learning | Google Cloud,https://cloud.google.com/products/ai?utm_source=google&utm_medium=cpc&utm_campaign=latam-BR-all-pt-dr-BKWS-all-all-trial-p-dr-1707800-LUAC0014875&utm_content=text-ad-none-any-DEV_c-CRE_547331812258-ADGP_Hybrid+%7C+BKWS+-+PHR+%7C+Txt_AI+and+ML-General-KWID_43700066537017029-kwd-301796808640&utm_term=KW_google+ai-ST_Google+AI&gad_source=1&gclid=Cj0KCQjw_-GxBhC1ARIsADGgDjulc2yHoCE4NLnlvNx_HXTKvtrbWNV9XaFvVNh9x_c26U-sE3KvoFoaAlO7EALw_wcB&gclsrc=aw.ds&hl=pt_br,2,0,link
126,16666,5/6/2024,10:29:41,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,5,0,link
127,16666,5/6/2024,10:29:40,google ai studio - Pesquisa Google,https://www.google.com/search?q=google+ai+studio&oq=google+ai+studio&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGEAyBggCEEUYPDIGCAMQRRg8MgYIBBBFGEHSAQg0ODk1ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,5,0,generated
128,16624,5/6/2024,10:26:37,Ummy online video downloader - download de videos online,https://ummy.net/pt33ZN/,4,1,link
129,16665,5/6/2024,10:26:32,Azure Monitor documentation - Azure Monitor | Microsoft Learn,https://learn.microsoft.com/en-us/azure/azure-monitor/,2,0,link
130,16665,5/6/2024,10:26:32,Azure Monitor documentation - Azure Monitor | Microsoft Learn,https://learn.microsoft.com/en-us/azure/azure-monitor/,2,0,link
